DATE,DTB3
25/5/12,0.09
28/5/12,.
29/5/12,0.09
30/5/12,0.07
31/5/12,0.07
1/6/12,0.07
4/6/12,0.08
5/6/12,0.08
6/6/12,0.09
7/6/12,0.09
8/6/12,0.09
11/6/12,0.09
12/6/12,0.1
13/6/12,0.1
14/6/12,0.11
15/6/12,0.09
18/6/12,0.1
19/6/12,0.09
20/6/12,0.09
21/6/12,0.09
22/6/12,0.09
25/6/12,0.1
26/6/12,0.1
27/6/12,0.09
28/6/12,0.09
29/6/12,0.09
2/7/12,0.1
3/7/12,0.09
4/7/12,.
5/7/12,0.08
6/7/12,0.08
9/7/12,0.09
10/7/12,0.09
11/7/12,0.1
12/7/12,0.1
13/7/12,0.1
16/7/12,0.1
17/7/12,0.1
18/7/12,0.09
19/7/12,0.09
20/7/12,0.09
23/7/12,0.1
24/7/12,0.1
25/7/12,0.1
26/7/12,0.11
27/7/12,0.11
30/7/12,0.11
31/7/12,0.11
1/8/12,0.1
2/8/12,0.09
3/8/12,0.09
6/8/12,0.1
7/8/12,0.11
8/8/12,0.11
9/8/12,0.11
10/8/12,0.1
13/8/12,0.11
14/8/12,0.11
15/8/12,0.09
16/8/12,0.09
17/8/12,0.09
20/8/12,0.11
21/8/12,0.11
22/8/12,0.11
23/8/12,0.11
24/8/12,0.1
27/8/12,0.11
28/8/12,0.1
29/8/12,0.12
30/8/12,0.1
31/8/12,0.09
3/9/12,.
4/9/12,0.1
5/9/12,0.11
6/9/12,0.11
7/9/12,0.11
10/9/12,0.1
11/9/12,0.1
12/9/12,0.1
13/9/12,0.1
14/9/12,0.11
17/9/12,0.11
18/9/12,0.1
19/9/12,0.11
20/9/12,0.11
21/9/12,0.11
24/9/12,0.11
25/9/12,0.11
26/9/12,0.11
27/9/12,0.09
28/9/12,0.1
1/10/12,0.09
2/10/12,0.09
3/10/12,0.09
4/10/12,0.1
5/10/12,0.11
8/10/12,.
9/10/12,0.1
10/10/12,0.1
11/10/12,0.1
12/10/12,0.11
15/10/12,0.11
16/10/12,0.09
17/10/12,0.11
18/10/12,0.1
19/10/12,0.1
22/10/12,0.1
23/10/12,0.11
24/10/12,0.11
25/10/12,0.11
26/10/12,0.12
29/10/12,0.14
30/10/12,.
31/10/12,0.11
1/11/12,0.09
2/11/12,0.09
5/11/12,0.11
6/11/12,0.1
7/11/12,0.1
8/11/12,0.1
9/11/12,0.09
12/11/12,.
13/11/12,0.11
14/11/12,0.1
15/11/12,0.08
16/11/12,0.06
19/11/12,0.09
20/11/12,0.08
21/11/12,0.1
22/11/12,.
23/11/12,0.1
26/11/12,0.1
27/11/12,0.1
28/11/12,0.1
29/11/12,0.09
30/11/12,0.08
3/12/12,0.1
4/12/12,0.1
5/12/12,0.1
6/12/12,0.1
7/12/12,0.09
10/12/12,0.09
11/12/12,0.08
12/12/12,0.07
13/12/12,0.06
14/12/12,0.04
17/12/12,0.05
18/12/12,0.06
19/12/12,0.05
20/12/12,0.06
21/12/12,0.06
24/12/12,0.06
25/12/12,.
26/12/12,0.09
27/12/12,0.08
28/12/12,0.01
31/12/12,0.05
1/1/13,.
2/1/13,0.08
3/1/13,0.08
4/1/13,0.07
7/1/13,0.07
8/1/13,0.07
9/1/13,0.06
10/1/13,0.06
11/1/13,0.07
14/1/13,0.08
15/1/13,0.09
16/1/13,0.08
17/1/13,0.07
18/1/13,0.08
21/1/13,.
22/1/13,0.08
23/1/13,0.08
24/1/13,0.08
25/1/13,0.08
28/1/13,0.07
29/1/13,0.07
30/1/13,0.07
31/1/13,0.07
1/2/13,0.06
4/2/13,0.07
5/2/13,0.07
6/2/13,0.07
7/2/13,0.07
8/2/13,0.07
11/2/13,0.09
12/2/13,0.09
13/2/13,0.1
